map_no,squad_id,row_type,in_game_name,player_id,kills_seen,assists,redeploys,damage,merge_status
6,T15,P,Arsenic,arsenic,1,0,3,623,written
6,T15,TOTAL,,,2,0,11,2565,written
7,T15,P,Humz,humz,3,0,4,1917,written
7,T15,P,@swanny,vgl_(swanny),1,1,3,1122,written
7,T15,P,Arsenic,arsenic,0,0,1,211,written
7,T15,TOTAL,,,4,1,8,3250,written
1,T16,P,RedShftr,redshiftr,1,1,7,1259,written
1,T16,P,meataxe,meataxe,1,0,5,594,written
1,T16,P,Termxi,termxi,0,0,3,676,written
1,T16,TOTAL,,,2,1,15,2529,written
2,T16,P,RedShftr,redshiftr,3,0,4,,written
2,T16,P,Termxi,termxi,0,1,1,,written
2,T16,P,meataxe,meataxe,0,1,5,,written
2,T16,TOTAL,,,3,2,10,,written
3,T16,P,RedShftr,redshiftr,2,5,4,2741,written
3,T16,P,meataxe,meataxe,1,0,5,800,written
3,T16,P,Termxi,termxi,4,3,2,1656,written
3,T16,TOTAL,,,7,8,11,5197,written
4,T16,P,RedShftr,redshiftr,8,1,5,3036,written
4,T16,P,Termxi,termxi,4,4,2,2341,written
4,T16,P,meataxe,meataxe,3,0,5,1743,written
4,T16,TOTAL,,,15,5,12,7120,written
5,T16,P,RedShftr,redshiftr,5,2,4,2754,written
5,T16,P,Termxi,termxi,1,3,1,1519,written
5,T16,P,meataxe,meataxe,2,1,5,1353,written
5,T16,TOTAL,,,8,6,10,5626,written
6,T16,P,RedShftr,redshiftr,4,0,3,1971,written
6,T16,P,Termxi,termxi,1,0,1,741,written
6,T16,P,meataxe,meataxe,0,0,1,778,written
6,T16,TOTAL,,,5,0,5,3490,written
